Filename,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations,successCheck
C1_2_1.TXT,2704.57,20,3140.589999999995,20,-436.019999999995,0,3140.589999999995,20,0.0,0,80066,SUCCESS
C1_2_10.TXT,2643.51,18,4060.969999999998,20,-1417.4599999999978,-2,4093.1099999999988,20,32.14000000000078,0,2312584,SUCCESS
C1_2_2.TXT,2917.89,18,4192.649999999998,22,-1274.759999999998,-4,4192.649999999998,22,0.0,0,1222514,SUCCESS
C1_2_3.TXT,2707.35,18,4376.749999999999,20,-1669.3999999999992,-2,4376.749999999999,20,0.0,0,1954372,SUCCESS
C1_2_4.TXT,2643.31,18,3858.7399999999975,20,-1215.4299999999976,-2,3872.779999999997,20,14.039999999999509,0,4106426,SUCCESS
C1_2_5.TXT,2702.05,20,4008.439999999996,22,-1306.3899999999958,-2,4033.949999999996,22,25.51000000000022,0,561095,SUCCESS
C1_2_6.TXT,2701.04,20,4770.489999999996,24,-2069.449999999996,-4,4784.079999999996,24,13.590000000000146,0,1192305,SUCCESS
C1_2_7.TXT,2701.04,20,4363.6399999999985,23,-1662.5999999999985,-3,4363.6399999999985,23,0.0,0,1462464,SUCCESS
C1_2_8.TXT,2775.48,19,4068.469999999998,22,-1292.989999999998,-3,4073.5799999999977,22,5.109999999999673,0,1692667,SUCCESS
C1_2_9.TXT,2687.83,18,4372.099999999998,21,-1684.2699999999977,-3,4373.699999999998,21,1.6000000000003638,0,2359009,SUCCESS
C2_2_1.TXT,1931.44,6,2245.759999999999,8,-314.3199999999988,-2,2245.759999999999,8,0.0,0,807285,SUCCESS
C2_2_10.TXT,1806.58,6,3189.9599999999964,7,-1383.3799999999965,-1,3211.5799999999967,7,21.620000000000346,0,2959007,SUCCESS
C2_2_2.TXT,1863.16,6,3379.349999999997,7,-1516.189999999997,-1,3379.349999999997,7,0.0,0,950307,SUCCESS
C2_2_3.TXT,1775.08,6,3406.6799999999994,7,-1631.5999999999995,-1,3406.6799999999994,7,0.0,0,2178878,SUCCESS
C2_2_4.TXT,1703.43,6,3439.56,7,-1736.1299999999999,-1,3439.56,7,0.0,0,4174020,SUCCESS
C2_2_5.TXT,1878.85,6,2931.009999999998,7,-1052.159999999998,-1,2931.009999999998,7,0.0,0,1336180,SUCCESS
C2_2_6.TXT,1857.35,6,3209.679999999999,8,-1352.329999999999,-2,3218.2299999999987,8,8.549999999999727,0,3696601,SUCCESS
C2_2_7.TXT,1849.46,6,3197.519999999999,8,-1348.059999999999,-2,3197.519999999999,8,0.0,0,3857274,SUCCESS
C2_2_8.TXT,1820.53,6,3118.81,7,-1298.28,-1,3142.7999999999993,7,23.989999999999327,0,2365265,SUCCESS
C2_2_9.TXT,1830.05,6,3303.8899999999976,7,-1473.8399999999976,-1,3326.4399999999982,7,22.550000000000637,0,2641893,SUCCESS
R1_2_1.TXT,4784.11,20,6361.970000000001,24,-1577.8600000000015,-4,6361.970000000001,24,0.0,0,1212704,SUCCESS
R1_2_10.TXT,3301.18,18,5380.739999999999,18,-2079.559999999999,0,5380.739999999999,18,0.0,0,1526965,SUCCESS
R1_2_2.TXT,4039.86,18,6182.290000000004,21,-2142.4300000000035,-3,6206.020000000001,24,23.729999999997744,3,1907208,SUCCESS
R1_2_3.TXT,3381.96,18,5759.820000000001,20,-2377.8600000000006,-2,5933.330000000005,24,173.51000000000477,4,3002317,SUCCESS
R1_2_4.TXT,3057.81,18,5515.139999999998,19,-2457.3299999999977,-1,5676.560000000002,22,161.42000000000462,3,4218139,SUCCESS
R1_2_5.TXT,4107.86,18,6200.95,21,-2093.09,-3,5787.930000000003,22,-413.0199999999968,1,1495987,SUCCESS
R1_2_6.TXT,3583.14,18,6028.500000000004,20,-2445.3600000000038,-2,5806.160000000001,21,-222.34000000000287,1,2392433,SUCCESS
R1_2_7.TXT,3150.11,18,5863.110000000001,19,-2713.0000000000005,-1,5673.86,20,-189.2500000000009,1,3281646,SUCCESS
R1_2_8.TXT,2951.99,18,5169.740000000002,19,-2217.750000000002,-1,5169.740000000002,19,0.0,0,4878493,SUCCESS
R1_2_9.TXT,3760.58,18,6015.359999999995,20,-2254.779999999995,-2,6015.359999999995,20,0.0,0,2282830,SUCCESS
R2_2_1.TXT,4483.16,4,6237.939999999999,5,-1754.7799999999988,-1,6384.130000000003,5,146.19000000000415,0,1119242,SUCCESS
R2_2_10.TXT,2654.97,4,5189.6,4,-2534.6300000000006,0,5206.980000000003,4,17.380000000002838,0,2832549,SUCCESS
R2_2_2.TXT,3621.2,4,5830.360000000004,5,-2209.1600000000044,-1,6310.1,5,479.73999999999614,0,1973858,SUCCESS
R2_2_3.TXT,2880.62,4,5346.330000000003,5,-2465.7100000000028,-1,5534.72,5,188.3899999999976,0,3370766,SUCCESS
R2_2_4.TXT,1981.29,4,4018.389999999999,4,-2037.099999999999,0,4532.3,5,513.9100000000012,1,4376455,SUCCESS
R2_2_5.TXT,3366.79,4,5999.340000000001,5,-2632.550000000001,-1,5999.340000000001,5,0.0,0,2725672,SUCCESS
R2_2_6.TXT,2913.03,4,5647.249999999998,5,-2734.219999999998,-1,5839.010000000005,5,191.76000000000658,0,3630335,SUCCESS
R2_2_7.TXT,2451.14,4,4843.099999999999,5,-2391.9599999999996,-1,5011.919999999999,5,168.8199999999997,0,4809599,SUCCESS
