i,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations,successCheck
1,3057.81,18,5375.299999999999,19,-2317.4899999999993,-1,5190.710000000001,21,-184.58999999999833,2,3045897,SUCCESS
2,3057.81,18,5343.76,19,-2285.9500000000003,-1,5091.37,20,-252.39000000000033,1,3076896,SUCCESS
3,3057.81,18,5249.3300000000045,19,-2191.5200000000045,-1,5435.259999999999,21,185.92999999999483,2,3076875,SUCCESS
4,3057.81,18,5246.47,19,-2188.6600000000003,-1,5622.9,21,376.4299999999994,2,3126166,SUCCESS
5,3057.81,18,5371.910000000001,19,-2314.100000000001,-1,5432.430000000001,21,60.52000000000044,2,3267960,SUCCESS
6,3057.81,18,5250.569999999999,19,-2192.759999999999,-1,5676.560000000002,22,425.9900000000034,3,3016263,SUCCESS
7,3057.81,18,5291.42,19,-2233.61,-1,6366.26,23,1074.8400000000001,4,3003022,SUCCESS
8,3057.81,18,5309.329999999998,19,-2251.519999999998,-1,6090.220000000002,21,780.890000000004,2,2987127,SUCCESS
