i,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations,successCheck
1,3057.81,18,5375.299999999999,19,-2317.4899999999993,-1,5190.710000000001,21,-184.58999999999833,2,3109317,SUCCESS
2,3057.81,18,5095.049999999999,19,-2037.2399999999993,-1,5091.37,20,-3.6799999999993815,1,3080459,SUCCESS
3,3057.81,18,5349.500000000006,19,-2291.6900000000064,-1,5435.259999999999,21,85.75999999999294,2,2944331,SUCCESS
4,3057.81,18,5353.8,19,-2295.9900000000002,-1,5622.9,21,269.09999999999945,2,2947368,SUCCESS
5,3057.81,18,5332.309999999999,19,-2274.4999999999986,-1,5432.430000000001,21,100.12000000000262,2,3031365,SUCCESS
6,3057.81,18,5270.190000000004,19,-2212.380000000004,-1,5676.560000000002,22,406.3699999999981,3,2876012,SUCCESS
7,3057.81,18,5354.970000000002,19,-2297.160000000002,-1,6366.26,23,1011.2899999999981,4,3004749,SUCCESS
8,3057.81,18,5292.840000000001,19,-2235.030000000001,-1,6090.220000000002,21,797.380000000001,2,3212310,SUCCESS
