Filename,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations,successCheck
C1_2_1.TXT,2704.57,20,3116.9699999999943,20,-412.3999999999942,0,3140.589999999995,20,23.6200000000008,0,162791,SUCCESS
C1_2_10.TXT,2643.51,18,4083.429999999999,20,-1439.9199999999987,-2,4093.1099999999988,20,9.679999999999836,0,1954651,SUCCESS
C1_2_2.TXT,2917.89,18,4192.209999999998,22,-1274.3199999999983,-4,4192.649999999998,22,0.4399999999995998,0,1370926,SUCCESS
C1_2_3.TXT,2707.35,18,4376.749999999999,20,-1669.3999999999992,-2,4376.749999999999,20,0.0,0,1729015,SUCCESS
C1_2_4.TXT,2643.31,18,3831.049999999997,20,-1187.739999999997,-2,3872.779999999997,20,41.73000000000002,0,2758756,SUCCESS
C1_2_5.TXT,2702.05,20,4033.949999999996,22,-1331.899999999996,-2,4033.949999999996,22,0.0,0,628132,SUCCESS
C1_2_6.TXT,2701.04,20,4784.079999999996,24,-2083.0399999999963,-4,4784.079999999996,24,0.0,0,1207539,SUCCESS
C1_2_7.TXT,2701.04,20,4316.739999999998,23,-1615.699999999998,-3,4363.6399999999985,23,46.900000000000546,0,1268232,SUCCESS
C1_2_8.TXT,2775.48,19,4072.0699999999974,22,-1296.5899999999974,-3,4073.5799999999977,22,1.5100000000002183,0,1362520,SUCCESS
C1_2_9.TXT,2687.83,18,4298.029999999997,21,-1610.199999999997,-3,4373.699999999998,21,75.67000000000098,0,1760079,SUCCESS
C2_2_1.TXT,1931.44,6,2245.759999999999,8,-314.3199999999988,-2,2245.759999999999,8,0.0,0,644929,SUCCESS
C2_2_10.TXT,1806.58,6,3211.5799999999967,7,-1404.9999999999968,-1,3211.5799999999967,7,0.0,0,2016655,SUCCESS
C2_2_2.TXT,1863.16,6,3379.349999999997,7,-1516.189999999997,-1,3379.349999999997,7,0.0,0,988511,SUCCESS
C2_2_3.TXT,1775.08,6,3406.6799999999994,7,-1631.5999999999995,-1,3406.6799999999994,7,0.0,0,1856975,SUCCESS
C2_2_4.TXT,1703.43,6,3423.14,7,-1719.7099999999998,-1,3439.56,7,16.420000000000073,0,2752782,SUCCESS
C2_2_5.TXT,1878.85,6,2931.009999999998,7,-1052.159999999998,-1,2931.009999999998,7,0.0,0,1154528,SUCCESS
C2_2_6.TXT,1857.35,6,3133.139999999998,8,-1275.7899999999981,-2,3218.2299999999987,8,85.0900000000006,0,2530390,SUCCESS
C2_2_7.TXT,1849.46,6,3197.519999999999,8,-1348.059999999999,-2,3197.519999999999,8,0.0,0,2622229,SUCCESS
C2_2_8.TXT,1820.53,6,3142.7999999999993,7,-1322.2699999999993,-1,3142.7999999999993,7,0.0,0,1896201,SUCCESS
C2_2_9.TXT,1830.05,6,3323.1299999999983,7,-1493.0799999999983,-1,3326.4399999999982,7,3.3099999999999454,0,2037653,SUCCESS
R1_2_1.TXT,4784.11,20,6542.5400000000045,23,-1758.4300000000048,-3,6361.970000000001,24,-180.57000000000335,1,912846,SUCCESS
R1_2_10.TXT,3301.18,18,5376.089999999999,18,-2074.9099999999994,0,5380.739999999999,18,4.649999999999636,0,1282908,SUCCESS
R1_2_2.TXT,4039.86,18,5990.43,21,-1950.5700000000002,-3,6206.020000000001,24,215.59000000000106,3,1532218,SUCCESS
R1_2_3.TXT,3381.96,18,5591.51,20,-2209.55,-2,5933.330000000005,24,341.82000000000517,4,2234348,SUCCESS
R1_2_4.TXT,3057.81,18,5348.330000000002,19,-2290.520000000002,-1,5676.560000000002,22,328.2300000000005,3,2820523,SUCCESS
R1_2_5.TXT,4107.86,18,6127.490000000003,21,-2019.6300000000037,-3,5787.930000000003,22,-339.5600000000004,1,1415939,SUCCESS
R1_2_6.TXT,3583.14,18,5922.860000000003,20,-2339.7200000000034,-2,5806.160000000001,21,-116.70000000000255,1,1947425,SUCCESS
R1_2_7.TXT,3150.11,18,5717.270000000002,19,-2567.160000000002,-1,5673.86,20,-43.41000000000258,1,2350096,SUCCESS
R1_2_8.TXT,2951.99,18,5169.740000000002,19,-2217.750000000002,-1,5169.740000000002,19,0.0,0,3036276,SUCCESS
R1_2_9.TXT,3760.58,18,5995.920000000001,20,-2235.340000000001,-2,6015.359999999995,20,19.439999999994143,0,1880019,SUCCESS
R2_2_1.TXT,4483.16,4,6233.46,5,-1750.3000000000002,-1,6384.130000000003,5,150.6700000000028,0,1022852,SUCCESS
R2_2_10.TXT,2654.97,4,5136.859999999999,4,-2481.889999999999,0,5206.980000000003,4,70.12000000000444,0,2140193,SUCCESS
R2_2_2.TXT,3621.2,4,5766.170000000004,5,-2144.970000000004,-1,6310.1,5,543.9299999999967,0,1622500,SUCCESS
R2_2_3.TXT,2880.62,4,4954.390000000001,5,-2073.7700000000013,-1,5534.72,5,580.329999999999,0,2417855,SUCCESS
R2_2_4.TXT,1981.29,4,3890.91,4,-1909.62,0,4532.3,5,641.3900000000003,1,2813844,SUCCESS
R2_2_5.TXT,3366.79,4,5999.050000000001,5,-2632.260000000001,-1,5999.340000000001,5,0.2899999999999636,0,2087056,SUCCESS
R2_2_6.TXT,2913.03,4,5541.319999999999,5,-2628.2899999999986,-1,5839.010000000005,5,297.69000000000597,0,2504480,SUCCESS
R2_2_7.TXT,2451.14,4,4691.990000000002,4,-2240.8500000000017,0,5011.919999999999,5,319.92999999999756,1,2460184,SUCCESS
R2_2_8.TXT,1849.87,4,3734.1299999999983,4,-1884.2599999999984,0,4195.040000000001,4,460.9100000000026,0,3108602,SUCCESS
