Filename,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations,successCheck
C1_2_1.TXT,2704.57,20,2707.419999999997,20,-2.849999999996726,0,3140.589999999995,20,433.16999999999825,0,213269,SUCCESS
C1_2_10.TXT,2643.51,18,2958.089999999996,20,-314.57999999999583,-2,4093.1099999999988,20,1135.0200000000027,0,2759721,SUCCESS
C1_2_2.TXT,2917.89,18,3062.2299999999955,21,-144.3399999999956,-3,4192.649999999998,22,1130.4200000000023,1,1307141,SUCCESS
C1_2_3.TXT,2707.35,18,3135.3099999999936,20,-427.95999999999367,-2,4376.749999999999,20,1241.4400000000055,0,2035074,SUCCESS
C1_2_4.TXT,2643.31,18,2890.319999999997,19,-247.00999999999704,-1,3872.779999999997,20,982.46,1,2788486,SUCCESS
C1_2_5.TXT,2702.05,20,3148.9799999999964,22,-446.9299999999962,-2,4033.949999999996,22,884.9699999999998,0,831651,SUCCESS
C1_2_6.TXT,2701.04,20,2773.299999999997,21,-72.25999999999704,-1,4784.079999999996,24,2010.7799999999993,3,974979,SUCCESS
C1_2_7.TXT,2701.04,20,3176.8099999999963,22,-475.76999999999634,-2,4363.6399999999985,23,1186.8300000000022,1,1725261,SUCCESS
C1_2_8.TXT,2775.48,19,2840.9699999999953,21,-65.48999999999523,-2,4073.5799999999977,22,1232.6100000000024,1,1994715,SUCCESS
C1_2_9.TXT,2687.83,18,2983.7899999999963,20,-295.9599999999964,-2,4373.699999999998,21,1389.9100000000017,1,2483951,SUCCESS
C2_2_1.TXT,1931.44,6,1956.149999999999,7,-24.7099999999989,-1,2245.759999999999,8,289.6099999999999,1,721853,SUCCESS
C2_2_10.TXT,1806.58,6,1937.4899999999989,7,-130.90999999999894,-1,3211.5799999999967,7,1274.0899999999979,0,2976247,SUCCESS
C2_2_2.TXT,1863.16,6,2144.439999999999,7,-281.27999999999906,-1,3379.349999999997,7,1234.909999999998,0,1693980,SUCCESS
C2_2_3.TXT,1775.08,6,2081.299999999998,7,-306.219999999998,-1,3406.6799999999994,7,1325.3800000000015,0,2393086,SUCCESS
C2_2_4.TXT,1703.43,6,2039.329999999999,7,-335.89999999999895,-1,3439.56,7,1400.230000000001,0,2428219,SUCCESS
C2_2_5.TXT,1878.85,6,2079.709999999998,7,-200.8599999999983,-1,2931.009999999998,7,851.2999999999997,0,1615660,SUCCESS
C2_2_6.TXT,1857.35,6,2223.0599999999977,7,-365.70999999999776,-1,3218.2299999999987,8,995.170000000001,1,2272070,SUCCESS
C2_2_7.TXT,1849.46,6,1989.8999999999978,7,-140.43999999999778,-1,3197.519999999999,8,1207.6200000000013,1,2308292,SUCCESS
C2_2_8.TXT,1820.53,6,2083.969999999998,7,-263.439999999998,-1,3142.7999999999993,7,1058.8300000000013,0,2720216,SUCCESS
C2_2_9.TXT,1830.05,6,2044.4699999999978,7,-214.4199999999978,-1,3326.4399999999982,7,1281.9700000000005,0,3029350,SUCCESS
R1_2_1.TXT,4784.11,20,5090.699999999998,22,-306.5899999999983,-2,6361.970000000001,24,1271.2700000000032,2,948752,SUCCESS
R1_2_10.TXT,3301.18,18,4165.629999999997,18,-864.4499999999975,0,5380.739999999999,18,1215.1100000000015,0,1688449,SUCCESS
R1_2_2.TXT,4039.86,18,4405.0499999999965,21,-365.1899999999964,-3,6206.020000000001,24,1800.9700000000048,3,1924791,SUCCESS
R1_2_3.TXT,3381.96,18,4145.809999999998,20,-763.8499999999976,-2,5933.330000000005,24,1787.5200000000077,4,2548209,SUCCESS
R1_2_4.TXT,3057.81,18,3760.849999999996,19,-703.0399999999959,-1,5676.560000000002,22,1915.7100000000064,3,2814336,SUCCESS
R1_2_5.TXT,4107.86,18,4432.9199999999955,20,-325.05999999999585,-2,5787.930000000003,22,1355.0100000000075,2,1321726,SUCCESS
R1_2_6.TXT,3583.14,18,4030.479999999998,20,-447.3399999999983,-2,5806.160000000001,21,1775.6800000000026,1,2188018,SUCCESS
R1_2_7.TXT,3150.11,18,3640.399999999996,19,-490.28999999999587,-1,5673.86,20,2033.4600000000037,1,2727904,SUCCESS
R1_2_8.TXT,2951.99,18,3642.639999999997,18,-690.6499999999974,0,5169.740000000002,19,1527.1000000000045,1,2606733,SUCCESS
R1_2_9.TXT,3760.58,18,4333.789999999997,19,-573.2099999999973,-1,6015.359999999995,20,1681.569999999998,1,1827792,SUCCESS
R2_2_1.TXT,4483.16,4,4600.249999999998,5,-117.08999999999833,-1,6384.130000000003,5,1783.8800000000047,0,1500423,SUCCESS
R2_2_10.TXT,2654.97,4,3461.7799999999966,4,-806.8099999999968,0,5206.980000000003,4,1745.2000000000066,0,2489182,SUCCESS
R2_2_2.TXT,3621.2,4,3894.6499999999996,5,-273.4499999999998,-1,6310.1,5,2415.4500000000007,0,2194526,SUCCESS
R2_2_3.TXT,2880.62,4,3178.639999999998,5,-298.01999999999816,-1,5534.72,5,2356.080000000002,0,3226986,SUCCESS
R2_2_4.TXT,1981.29,4,2710.6799999999976,4,-729.3899999999976,0,4532.3,5,1821.6200000000026,1,4000274,SUCCESS
R2_2_5.TXT,3366.79,4,4048.869999999999,5,-682.079999999999,-1,5999.340000000001,5,1950.470000000002,0,2575132,SUCCESS
R2_2_6.TXT,2913.03,4,3478.3499999999976,5,-565.3199999999974,-1,5839.010000000005,5,2360.660000000007,0,3180565,SUCCESS
R2_2_7.TXT,2451.14,4,2902.769999999998,4,-451.6299999999983,0,5011.919999999999,5,2109.150000000001,1,3349298,SUCCESS
R2_2_8.TXT,1849.87,4,2449.279999999998,4,-599.409999999998,0,4195.040000000001,4,1745.760000000003,0,4723649,SUCCESS
R2_2_9.TXT,3092.04,4,3491.86,5,-399.82000000000016,-1,5966.840000000003,5,2474.9800000000027,0,3011714,SUCCESS
