Filename,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations,successCheck
C1_2_1.TXT,2704.57,20,3140.589999999995,20,-436.019999999995,0,3140.589999999995,20,0.0,0,121431,SUCCESS
C1_2_10.TXT,2643.51,18,4087.8299999999986,20,-1444.3199999999983,-2,4093.1099999999988,20,5.2800000000002,0,1185322,SUCCESS
C1_2_2.TXT,2917.89,18,4192.649999999998,22,-1274.759999999998,-4,4192.649999999998,22,0.0,0,933423,SUCCESS
C1_2_3.TXT,2707.35,18,4347.240000000001,20,-1639.8900000000008,-2,4376.749999999999,20,29.5099999999984,0,1286838,SUCCESS
C1_2_4.TXT,2643.31,18,4081.759999999996,19,-1438.4499999999962,-1,3872.779999999997,20,-208.9799999999991,1,1555121,SUCCESS
C1_2_5.TXT,2702.05,20,4016.1399999999962,22,-1314.089999999996,-2,4033.949999999996,22,17.809999999999945,0,467911,SUCCESS
C1_2_6.TXT,2701.04,20,4739.909999999997,24,-2038.8699999999972,-4,4784.079999999996,24,44.16999999999916,0,883090,SUCCESS
C1_2_7.TXT,2701.04,20,4344.709999999998,23,-1643.6699999999983,-3,4363.6399999999985,23,18.93000000000029,0,1012761,SUCCESS
C1_2_8.TXT,2775.48,19,4073.5799999999977,22,-1298.0999999999976,-3,4073.5799999999977,22,0.0,0,1075167,SUCCESS
C1_2_9.TXT,2687.83,18,4369.859999999998,21,-1682.029999999998,-3,4373.699999999998,21,3.8400000000001455,0,1362538,SUCCESS
C2_2_1.TXT,1931.44,6,2245.759999999999,8,-314.3199999999988,-2,2245.759999999999,8,0.0,0,640972,SUCCESS
C2_2_10.TXT,1806.58,6,3211.389999999997,7,-1404.8099999999972,-1,3211.5799999999967,7,0.18999999999959982,0,1566338,SUCCESS
C2_2_2.TXT,1863.16,6,3379.349999999997,7,-1516.189999999997,-1,3379.349999999997,7,0.0,0,783340,SUCCESS
C2_2_3.TXT,1775.08,6,3406.6799999999994,7,-1631.5999999999995,-1,3406.6799999999994,7,0.0,0,1376940,SUCCESS
C2_2_4.TXT,1703.43,6,3439.5299999999997,7,-1736.0999999999997,-1,3439.56,7,0.03000000000020009,0,1904350,SUCCESS
C2_2_5.TXT,1878.85,6,2923.389999999998,7,-1044.5399999999981,-1,2931.009999999998,7,7.619999999999891,0,879289,SUCCESS
C2_2_6.TXT,1857.35,6,3218.2299999999987,8,-1360.8799999999987,-2,3218.2299999999987,8,0.0,0,1734294,SUCCESS
C2_2_7.TXT,1849.46,6,3197.519999999999,8,-1348.059999999999,-2,3197.519999999999,8,0.0,0,1770302,SUCCESS
C2_2_8.TXT,1820.53,6,3142.7999999999993,7,-1322.2699999999993,-1,3142.7999999999993,7,0.0,0,1352714,SUCCESS
C2_2_9.TXT,1830.05,6,3326.4399999999982,7,-1496.3899999999983,-1,3326.4399999999982,7,0.0,0,1451237,SUCCESS
R1_2_1.TXT,4784.11,20,6361.970000000001,24,-1577.8600000000015,-4,6361.970000000001,24,0.0,0,890552,SUCCESS
R1_2_10.TXT,3301.18,18,5380.739999999999,18,-2079.559999999999,0,5380.739999999999,18,0.0,0,1014042,SUCCESS
R1_2_2.TXT,4039.86,18,5993.089999999998,21,-1953.2299999999982,-3,6206.020000000001,24,212.93000000000302,3,1188323,SUCCESS
R1_2_3.TXT,3381.96,18,6037.339999999998,19,-2655.3799999999983,-1,5933.330000000005,24,-104.00999999999294,5,1588169,SUCCESS
R1_2_4.TXT,3057.81,18,5446.900000000002,19,-2389.0900000000024,-1,5676.560000000002,22,229.65999999999985,3,1899730,SUCCESS
R1_2_5.TXT,4107.86,18,6099.520000000001,21,-1991.6600000000017,-3,5787.930000000003,22,-311.5899999999983,1,1100521,SUCCESS
R1_2_6.TXT,3583.14,18,5988.35,20,-2405.2100000000005,-2,5806.160000000001,21,-182.1899999999996,1,1395037,SUCCESS
R1_2_7.TXT,3150.11,18,5927.679999999997,19,-2777.5699999999965,-1,5673.86,20,-253.81999999999698,1,1763544,SUCCESS
R1_2_8.TXT,2951.99,18,5169.740000000002,19,-2217.750000000002,-1,5169.740000000002,19,0.0,0,2019994,SUCCESS
R1_2_9.TXT,3760.58,18,5996.019999999996,20,-2235.439999999996,-2,6015.359999999995,20,19.339999999999236,0,1379235,SUCCESS
R2_2_1.TXT,4483.16,4,6290.870000000005,5,-1807.7100000000055,-1,6384.130000000003,5,93.25999999999749,0,820428,SUCCESS
R2_2_10.TXT,2654.97,4,5197.710000000003,4,-2542.740000000003,0,5206.980000000003,4,9.270000000000437,0,1534315,SUCCESS
R2_2_2.TXT,3621.2,4,5850.390000000001,5,-2229.1900000000014,-1,6310.1,5,459.7099999999991,0,1248453,SUCCESS
R2_2_3.TXT,2880.62,4,5155.870000000004,5,-2275.2500000000045,-1,5534.72,5,378.8499999999958,0,1712398,SUCCESS
R2_2_4.TXT,1981.29,4,4094.66,4,-2113.37,0,4532.3,5,437.6400000000003,1,1912613,SUCCESS
R2_2_5.TXT,3366.79,4,5989.35,5,-2622.5600000000004,-1,5999.340000000001,5,9.990000000000691,0,1517748,SUCCESS
R2_2_6.TXT,2913.03,4,5677.720000000002,5,-2764.690000000002,-1,5839.010000000005,5,161.2900000000027,0,1742109,SUCCESS
R2_2_7.TXT,2451.14,4,4916.259999999999,4,-2465.1199999999994,0,5011.919999999999,5,95.65999999999985,1,1751842,SUCCESS
R2_2_8.TXT,1849.87,4,3880.179999999997,4,-2030.3099999999972,0,4195.040000000001,4,314.86000000000377,0,2067161,SUCCESS
